Source,Target
"Charas, Moyse, 1619-1698","Huygens, Christiaan, 1629-1695"
"Hartzwich, Peter, fl. 1632","Groot, Hugo de, 1583-1645"
"Heinsius, Daniel, 1580-1655","Groot, Hugo de, 1583-1645"
"Heinsius, Daniel, 1580-1655","Groot, Hugo de, 1583-1645"
"Heinsius, Daniel, 1580-1655","Groot, Hugo de, 1583-1645"
"Heinsius, Daniel, 1580-1655","Groot, Hugo de, 1583-1645"
"Heinsius, Daniel, 1580-1655","Groot, Hugo de, 1583-1645"
"Heinsius, Daniel, 1580-1655","Groot, Hugo de, 1583-1645"
"Heinsius, Daniel, 1580-1655","Groot, Hugo de, 1583-1645"
"Heinsius, Daniel, 1580-1655","Groot, Hugo de, 1583-1645"
"Heinsius, Daniel, 1580-1655","Groot, Hugo de, 1583-1645"
"Heinsius, Daniel, 1580-1655","Groot, Hugo de, 1583-1645"
"Heinsius, Daniel, 1580-1655","Huygens, Constantijn, 1596-1687"
"Heinsius, Daniel, 1580-1655","Huygens, Constantijn, 1596-1687"
"Heinsius, Nicolaas, 1620-1681","Huygens, Christiaan, 1629-1695"
"Heinsius, Nicolaas, 1620-1681","Dati, Carlo Roberto, 1619-1676"
"Heinsius, Nicolaas, 1620-1681","Dati, Carlo Roberto, 1619-1676"
"Heinsius, Nicolaas, 1620-1681","Boulliau, Ismaël, 1605-1694"
"Heinsius, Nicolaas, 1620-1681","Boulliau, Ismaël, 1605-1694"
"Heinsius, Nicolaas, 1620-1681","Dati, Carlo Roberto, 1619-1676"
"Heinsius, Nicolaas, 1620-1681","Dati, Carlo Roberto, 1619-1676"
"Heinsius, Nicolaas, 1620-1681","Dati, Carlo Roberto, 1619-1676"
"Heinsius, Nicolaas, 1620-1681","Dati, Carlo Roberto, 1619-1676"
"Heinsius, Nicolaas, 1620-1681","Gronovius, Johann Frederick, 1611-1671"
"Heinsius, Nicolaas, 1620-1681","Huygens, Christiaan, 1629-1695"
"Heinsius, Nicolaas, 1620-1681","Dati, Carlo Roberto, 1619-1676"
"Heinsius, Nicolaas, 1620-1681","Chapelain, Jean, 1595-1674"
"Heinsius, Nicolaas, 1620-1681","Huygens, Christiaan, 1629-1695"
"Heinsius, Nicolaas, 1620-1681","Huygens, Christiaan, 1629-1695"
"Heinsius, Nicolaas, 1620-1681","Huygens, Christiaan, 1629-1695"
"Heinsius, Nicolaas, 1620-1681","Huygens, Christiaan, 1629-1695"
"Heinsius, Nicolaas, 1620-1681","Huygens, Christiaan, 1629-1695"
"Heinsius, Nicolaas, 1620-1681","Dati, Carlo Roberto, 1619-1676"
"Heinsius, Nicolaas, 1620-1681","Huygens, Christiaan, 1629-1695"
"Heinsius, Nicolaas, 1620-1681","Huygens, Christiaan, 1629-1695"
"Heinsius, Nicolaas, 1620-1681","Huygens, Christiaan, 1629-1695"
"Heinsius, Nicolaas, 1620-1681","Huygens, Christiaan, 1629-1695"
"Heinsius, Nicolaas, 1620-1681","Huygens, Christiaan, 1629-1695"
"Heinsius, Nicolaas, 1620-1681","Huygens, Christiaan, 1629-1695"
"Heinsius, Nicolaas, 1620-1681","Lubieniecki, Stanisław, 1623-1675"
"Heinsius, Nicolaas, 1620-1681","Huygens, Christiaan, 1629-1695"
"Heinsius, Nicolaas, 1620-1681","Huygens, Christiaan, 1629-1695"
"Heinsius, Nicolaas, 1620-1681","Huygens, Constantijn, 1596-1687"
"Heinsius, Nicolaas, 1620-1681","Huygens, Constantijn, 1596-1687"
"Heinsius, Nicolaas, 1620-1681","Huygens, Constantijn, 1596-1687"
"Heinsius, Nicolaas, 1620-1681","Huygens, Constantijn, 1596-1687"
"Heinsius, Nicolaas, 1620-1681","Huygens, Constantijn, 1596-1687"
"Sidney, Robert, 1595-1677","Huygens, Constantijn, 1596-1687"
"Hobbes, Thomas, 1588-1679","Descartes, René, 1596-1650"
"Hobbes, Thomas, 1588-1679","Descartes, René, 1596-1650"
"Hobbes, Thomas, 1588-1679","Charles II, King of England, Scotland, and Ireland, 1630-1685"
"Hooft, Pieter Cornelius, 1581-1647","Groot, Hugo de, 1583-1645"
"Hooft, Pieter Cornelius, 1581-1647","Groot, Hugo de, 1583-1645"
"Hooft, Pieter Cornelius, 1581-1647","Groot, Hugo de, 1583-1645"
"Hooft, Pieter Cornelius, 1581-1647","Groot, Hugo de, 1583-1645"
"Hooft, Pieter Cornelius, 1581-1647","Groot, Hugo de, 1583-1645"
"Hooft, Pieter Cornelius, 1581-1647","Groot, Hugo de, 1583-1645"
"Hooft, Pieter Cornelius, 1581-1647","Groot, Hugo de, 1583-1645"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Hooft, Pieter Cornelius, 1581-1647","Huygens, Constantijn, 1596-1687"
"Huet, Pierre Daniel, 1630-1721","Huygens, Christiaan, 1629-1695"
"Huet, Pierre Daniel, 1630-1721","Huygens, Christiaan, 1629-1695"
"Huygens, Constantijn, 1596-1687","Descartes, René, 1596-1650"
